"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Mon Nov 20 08:40:38 +0000 2023","1726520918535757997","Nge-Pop Mie sambil belajar fisika​ Kudu belajar biar lulus​ Denger denger sobi jakarta​ Ada yang pinjem seratus https://t.co/yJ59MwL18W","52","58","55","1465","in","1500632004","1726520918535757997","ngePopMie","https://twitter.com/ngePopMie/status/1726520918535757997","https://pbs.twimg.com/media/F_XVnztbEAAZN1Z.jpg",""
"Fri May 12 07:16:12 +0000 2023","1656921199828701186","Cieee yang deg-degan mau war tiket~ Kalo kata mimin sih  janlup sediain yang yellow-yellow kayak Pop Mie Kari Ayam biar nge-war lebih siap. https://t.co/bY3Udz1tqg","0","6","8","223","in","1500632004","1656921199828701186","ngePopMie","https://twitter.com/ngePopMie/status/1656921199828701186","https://pbs.twimg.com/media/Fv6RBgeaMAA9CFV.jpg",""
"Mon Apr 17 06:40:16 +0000 2023","1647852459929526273","@starfess Foto Mamang Pop Mie lagi nyeruput kenikmatan Pop Mie jadi kesebar deh","1","5","0","179","in","1500632004","1647795672731758597","ngePopMie","https://twitter.com/ngePopMie/status/1647852459929526273","",""
"Fri Sep 15 13:01:57 +0000 2023","1702669081479192946","Pemangsa Sekali seruput Pop Mie  langsung dihabisi! https://t.co/AhX2zcFQp7","0","1","0","0","in","1500632004","1702668922057789797","ngePopMie","https://twitter.com/ngePopMie/status/1702669081479192946","https://pbs.twimg.com/media/F6EYgNBaAAAOpSL.jpg",""
"Tue May 02 08:06:32 +0000 2023","1653309988448931840","Mau kumpul pake baju warna apa kek  asal ditemenin Pop Mie mah jadi lebih seru~~ https://t.co/FAb3Ouzw9c","1","10","9","702","in","1500632004","1653309988448931840","ngePopMie","https://twitter.com/ngePopMie/status/1653309988448931840","https://pbs.twimg.com/media/FvG8qS6aEAIRQ1f.jpg",""
"Fri Sep 15 13:01:39 +0000 2023","1702669005050306784","Serakah Ate all your faves up alias semua rasa Pop Mie enak banget  Sob! https://t.co/GDKxt1eOyS","0","1","0","0","in","1500632004","1702668922057789797","ngePopMie","https://twitter.com/ngePopMie/status/1702669005050306784","https://pbs.twimg.com/media/F6EYbeQbIAAdNzf.jpg",""
"Wed May 31 10:58:27 +0000 2023","1663862500482490369","Ada yang tau siapa dedek Sobi kedinginan di video ini? Mimin mau kasih hadiah Pop Mie nih  karena mimin tau kalo ngePop Mie abis berenang kayak doi tuh enak banget rasanya! https://t.co/5aLUmSFknV","422","821","972","23216","in","1500632004","1663862500482490369","ngePopMie","https://twitter.com/ngePopMie/status/1663862500482490369","https://pbs.twimg.com/ext_tw_video_thumb/1663862233758322690/pu/img/XurkF12fgs0n4NSn.jpg",""
"Thu Apr 20 02:00:00 +0000 2023","1648869090990206977","Mudik naek kereta pas masih puasa  Sob? Bae2 lo pada bablas ketiduran ntar  alamat sahur kepepet! Eits  tapi mah selama lo udah stok Pop Mie selama di kereta mah pasti aman: 3 menit langsung jadi  sahur kepepet langsung teratasi~~  source: @FOODFESS2 @tanyakanrl @prettiestscene https://t.co/iX2oa9f00D","97","237","91","5607","in","1500632004","1648869090990206977","ngePopMie","https://twitter.com/ngePopMie/status/1648869090990206977","https://pbs.twimg.com/media/FuF2cQ0aAAE4m04.jpg",""
"Sat Mar 25 11:13:49 +0000 2023","1639586379234435072","Karna Mamang Pop Mie tugasnya bikin puasa kalian lebih seru dan manteb  gw buka challenge aja deh nih buat antum-antum semwa. Nih ya: Tantang mamang apa yang bisa mamang lakuin sembari nyeruput Pop Mie di Ramadan kali ini! Gas langsung reply aja twit ini yak! https://t.co/kfbAZl5zJW","1","270","11","67","in","1500632004","1639584195746963456","ngePopMie","https://twitter.com/ngePopMie/status/1639586379234435072","https://pbs.twimg.com/media/FsD7EbsXwAMF-Y_.jpg",""
"Mon Sep 18 02:26:47 +0000 2023","1703596398560874653","@mesakneya Hai Sob! Pop Mie bisa di beli di toko terdekat atau online disini yaa: https://t.co/Wi5PSME295","0","0","0","0","in","1500632004","1702974666477048288","ngePopMie","https://twitter.com/ngePopMie/status/1703596398560874653","",""
"Mon May 22 10:08:44 +0000 2023","1660588495499587585","Bete &amp; puyeng abis sekolah/kuliah/kerja emang paling enak diseruin lagi dengan cara kreatif-kreatifan sama Pop Mie  Sob.  Anyway  lo semua pada masuk sekte kreatif Pop Mie yang mana nih dari gambar ini? https://t.co/CRqUNXjJLb","9","27","25","963","in","1500632004","1660588495499587585","ngePopMie","https://twitter.com/ngePopMie/status/1660588495499587585","https://pbs.twimg.com/media/FwuYbFMaQAIeBHg.jpg",""
"Tue Sep 19 01:21:28 +0000 2023","1703942350635245861","@HidayatMazz wah mantap nih Sobi jago pantun  pasti sering nge-Pop Mie juga ya Sob xixi","0","1","0","0","in","1500632004","1701899610820952277","ngePopMie","https://twitter.com/ngePopMie/status/1703942350635245861","",""
