created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Mar 27 03:06:14 +0000 2023;1640188451948756993;"Siapa yang ngalamin sahur kesiangan juga? Gak perlu khawatir yuk, re-cook resepnya pake Mie Lemonilo Rendang, eitss..tapi jangan lupa tambahin protein &amp  sayur juga ya, biar tetep kuat puasanya! 😉 https://t.co/dBzB16Ax5b";0;0;0;2;in;773884744597725184;1640188451948756993;lemonilo;https://twitter.com/lemonilo/status/1640188451948756993
Thu Mar 16 13:15:29 +0000 2023;1636355506171432961;"@ri_ntzennic30 @tanyakanrl Kreatif! Kadang Moni juga begini tapi Mienya dimasak setengah mateng terus baru dicampur nasi dan bumbunya barengan. Coba aja kak. Bisa juga beli saus bolognese kemasan dicampur sama varian Mie Rendang ini manteeup banget! 😍";0;0;0;25;in;773884744597725184;1636259784377909249;lemonilo;https://twitter.com/lemonilo/status/1636355506171432961
Thu Mar 16 11:50:41 +0000 2023;1636334165758205952;"@tanyakanrl Emaknya dah ceklak-ceklek kompor mau bikin Mie Rebus anget tuh bang. Pulang bang sebelum keluar kalimat, “Masak sendiri aja sono!”";0;3;4;440;in;773884744597725184;1636259784377909249;lemonilo;https://twitter.com/lemonilo/status/1636334165758205952
Tue Mar 14 09:26:41 +0000 2023;1635573149860495361;"@FFOODFESS Pasti kalau abangnya jualan Mie, Mienya meski lurus tetep disisir ulang biar rapi dan dipotong sama rata nih. 😁 https://t.co/B98mcQE6nr";1;15;0;88;in;773884744597725184;1635554737482526720;lemonilo;https://twitter.com/lemonilo/status/1635573149860495361
Mon Mar 13 11:19:38 +0000 2023;1635239189167112194;"Dengan rasa khas yang terinspirasi dari kelembutan alam, nikmatnya Mie Lemonilo Goreng siap manjain lidah dan temani #SetiapLangkahBerarti kamu untuk gapai semua mimpimu💚 https://t.co/Fmv8WnuccY";0;0;0;5;in;773884744597725184;1635239189167112194;lemonilo;https://twitter.com/lemonilo/status/1635239189167112194
Mon Mar 13 10:12:27 +0000 2023;1635222282225455105;"@tang__kira Biasanya sekali beli 6 butir telur, jadi selalu ditaruh di suhu ruang. Nice info kak! 👏🏻 Jadi tahu gimana nyimpen topping andalan Mie Lemonilo satu ini. https://t.co/MAV2ds5Mw1";0;0;0;1;in;773884744597725184;1634724394651258881;lemonilo;https://twitter.com/lemonilo/status/1635222282225455105
Fri Mar 10 14:00:46 +0000 2023;1634192574293626880;"@FFOODFESS Mie Lemonilo ✅ Telur ✅ Tempe ungkep ✅ Ayam ungkep ✅ Michoco ✅ Chimi Ubi ✅ Buah yang awet di suhu ruang kayak apel, pisang, sama buah naga ✅  Sisanya bahan makanan mentah yang cuma tahan 2-4 hari kayaknya.";0;0;0;0;in;773884744597725184;1634188765337092097;lemonilo;https://twitter.com/lemonilo/status/1634192574293626880
Fri Mar 10 03:23:34 +0000 2023;1634032216962654209;"@convomfs Buat anak kost yang badannya mungil dan nyaman aja di space yang kecil, ini oke. Cuma lihat rak atas jadi pengen nyempilin Mie Lemonilo di sana 😔";0;2;0;3;in;773884744597725184;1633813683511107584;lemonilo;https://twitter.com/lemonilo/status/1634032216962654209
Wed Mar 08 04:43:14 +0000 2023;1633327491262840833;"@FFOODFESS Tergantung tanggal dan stock bahan nder. Kadang apa adanya tapi kalau lagi ada duit dan bahan pake loncang atau daun bawang, cabe, sama kornet. Kalau kepepet banget biar jadi lauk sehari 3x ala anak kost-an dibikin omelette mie aja sekalian 😁 https://t.co/UL59NnD00g";0;0;0;49;in;773884744597725184;1633276262490988545;lemonilo;https://twitter.com/lemonilo/status/1633327491262840833
Tue Mar 07 06:12:41 +0000 2023;1632987616097484800;"@FOODFESS2 Berasa nostalgia Warnet jaman SMP dulu. Bayarnya dua ribu sejam. Ini paling enak kalau pesen Mie Kuah Kari Ayam pake topping telur. Makin betah 👍🏻";0;10;1;45;in;773884744597725184;1632737927007715328;lemonilo;https://twitter.com/lemonilo/status/1632987616097484800
Tue Feb 28 10:52:08 +0000 2023;1630521223959707648;"Hujan-hujan enaknya… Mie Kuah Kari Lemonilo! Tambahin topping favoritmu biar makin mantap 😋 https://t.co/qV0GXt2TKL";0;2;0;9;in;773884744597725184;1630521223959707648;lemonilo;https://twitter.com/lemonilo/status/1630521223959707648
Sun Feb 26 03:35:46 +0000 2023;1629686634710192128;"Mie Lemonilo TURUN HARGA!!!🔥🔥🔥 Sekarang harga Mie Lemonilo cuma Rp7.300 lho, yuk buruan borong di @alfamart terdekatmu!!! https://t.co/dxtn36I7MX";0;3;1;9;in;773884744597725184;1629686634710192128;lemonilo;https://twitter.com/lemonilo/status/1629686634710192128
Wed Feb 08 02:00:10 +0000 2023;1623139594438057989;"@daegaaaal Wow! 😍 surganya pecinta Mie";0;0;0;1;in;773884744597725184;1622819037259632640;lemonilo;https://twitter.com/lemonilo/status/1623139594438057989
